FID,FClassTypeID,FClassActionID,FObject,FCaption_CHS,FDefineType,FSourceType,FSourceField,FAction,FAction,FExpression,FOrder,FDescription,Descriptions
54619,1007006,22,EVENT,#N/A,0,8192,FAfterLoadBillAction,,,@HadBusinessMultiCheck=1,1,Added by BOS UPDATE,
54528,1007006,2,FAmount,金额,0,4096,FAction,FAuxPriceIncludeTax=FAmount*(1+FCess/100)/FAuxQTY/(1-FDescount/100),含税单价=金额*(1+税率/100)/数量/(1-折扣率/100),,1,值更新事件,
54529,1007006,2,FAmount,金额,0,4096,FAction,FAuxPrice=FAuxPriceIncludeTax/(1+FCess/100),单价=含税单价/(1+税率/100),,2,值更新事件,
54530,1007006,2,FAmount,金额,0,4096,FAction,FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100),实际含税单价=含税单价*(1-折扣率/100),,3,值更新事件,
54531,1007006,2,FAmount,金额,0,4096,FAction,FDiscountAmt=FAuxQTY*FAuxPriceIncludeTax*FDescount/100,折扣额=数量*含税单价*折扣率/100,@SysProfileDisCountIncludeTax=1,4,值更新事件,
54532,1007006,2,FAmount,金额,0,4096,FAction,FDiscountAmt=FAuxQTY*FAuxPriceIncludeTax/(100+FCess)*FDescount,折扣额=数量*含税单价/(100+税率)*折扣率,@SysProfileDisCountIncludeTax=0,5,值更新事件,
54533,1007006,2,FAmount,金额,0,4096,FAction,FTaxAmount=FAuxQTY*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100,税额=数量*含税单价*(1-折扣率/100)/(1+税率/100)*税率/100,FCess>0,6,值更新事件,
54534,1007006,2,FAmount,金额,0,4096,FAction,FAmountIncludeTax=FAmount+FTaxAmount,含税金额=金额+税额,,7,值更新事件,
54535,1007006,2,FAmount,金额,0,4096,FAction,FPrice=FAuxPriceIncludeTax/(1+FCess/100)/FUnitID.FCoefficient,基本单位单价=含税单价/(1+税率/100)/单位.FCoefficient,,8,值更新事件,
54536,1007006,9,FAuxPrice,单价,0,4096,FSaveRule,"FAuxPrice<>0,CHS=单价不能等于零!@CHT=單價不能等於零!@EN=Unit Price can not be 0 !@,0","单价<>0,CHS=单价不能等于零!@CHT=單價不能等於零!@EN=Unit Price can not be 0 !@,0",,1,保存规则,
54537,1007006,2,FAuxPrice,单价,0,4096,FAction,FDecimal21=FCustID.F_123,木托盘缠绕膜成本=购货单位.F_123,,1,值更新事件,
54538,1007006,2,FAuxPrice,单价,32768,4096,FAction,FAuxPriceIncludeTax=FAuxPrice*(1+FCess/100),含税单价=单价*(1+税率/100),,2,值更新事件,
54539,1007006,2,FAuxPrice,单价,0,4096,FAction,"FDecimal9=FDecimal7*FDecimal17/100*FDecimal22/365
","账期财务成本=出厂成本_不含运费*贷款年利率（%）/100*客户账期/365
",,3,值更新事件,
54540,1007006,2,FAuxPrice,单价,0,4096,FAction,FDecimal23=FDecimal3+FDecimal7+FDecimal9+FDecimal21,总成本=运费（含税）+出厂成本_不含运费+账期财务成本+木托盘缠绕膜成本,,4,值更新事件,
54541,1007006,2,FAuxPrice,单价,0,4096,FAction,FDescount=100-100*FDecimal23/(1-FDecimal18/100)*(1+FCess/100)/(1-FDecimal5/100)/(1-FDecimal6/100)/FAuxPriceIncludeTax/FDecimal4,折扣率=100-100*总成本/(1-公司最终报价利润率%/100)*(1+税率/100)/(1-质量赔偿金折扣率%/100)/(1-返点%/100)/含税单价/报价汇率,,5,值更新事件,
54542,1007006,2,FAuxPrice,单价,32768,4096,FAction,FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100),实际含税单价=含税单价*(1-折扣率/100),,6,值更新事件,
54543,1007006,2,FAuxPrice,单价,32768,4096,FAction,FAmount=FAuxQTY*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100),金额=数量*含税单价*(1-折扣率/100)/(1+税率/100),,7,值更新事件,
54544,1007006,2,FAuxPrice,单价,32768,4096,FAction,FDiscountAmt=FAuxQTY*FAuxPriceIncludeTax*FDescount/100,折扣额=数量*含税单价*折扣率/100,@SysProfileDisCountIncludeTax=1,8,值更新事件,
54545,1007006,2,FAuxPrice,单价,32768,4096,FAction,FDiscountAmt=FAuxQTY*FAuxPriceIncludeTax/(100+FCess)*FDescount,折扣额=数量*含税单价/(100+税率)*折扣率,@SysProfileDisCountIncludeTax=0,9,值更新事件,
54546,1007006,2,FAuxPrice,单价,32768,4096,FAction,FTaxAmount=FAuxQTY*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100,税额=数量*含税单价*(1-折扣率/100)/(1+税率/100)*税率/100,FCess>0,10,值更新事件,
54547,1007006,2,FAuxPrice,单价,32768,4096,FAction,FAmountIncludeTax=FAmount+FTaxAmount,含税金额=金额+税额,,11,值更新事件,
54548,1007006,2,FAuxPrice,单价,32768,4096,FAction,FPrice=FAuxPrice/FUnitID.FCoefficient,基本单位单价=单价/单位.FCoefficient,,12,值更新事件,
54549,1007006,2,FAuxPrice,单价,0,4096,FAction,"FDecimal10=FAuxPriceIncludeTax*FDecimal4*(1-FDecimal6/100)*(1-FDecimal5/100)/(1+FCess/100)-FDecimal23
","利润=含税单价*报价汇率*(1-返点%/100)*(1-质量赔偿金折扣率%/100)/(1+税率/100)-总成本
",,13,值更新事件,
54550,1007006,2,FAuxPrice,单价,0,4096,FAction,FDecimal11=100-100*FDecimal23*(1+FCess/100)/(FAuxPriceIncludeTax*(1-FDecimal6/100)*(1-FDecimal5/100)*FDecimal4),利润率%=100-100*总成本*(1+税率/100)/(含税单价*(1-返点%/100)*(1-质量赔偿金折扣率%/100)*报价汇率),,14,值更新事件,
54551,1007006,14,FAuxPrice,单价,0,4096,FAction,FDecimal12,客户目标价,,15,值更新事件,
54552,1007006,2,FAuxPriceIncludeTax,含税单价,32768,4096,FAction,FAuxPrice=FAuxPriceIncludeTax/(1+FCess/100),单价=含税单价/(1+税率/100),,1,值更新事件,
54553,1007006,2,FAuxPriceIncludeTax,含税单价,0,4096,FAction,"FDecimal9=FDecimal7*FDecimal17/100*FDecimal22/365
","账期财务成本=出厂成本_不含运费*贷款年利率（%）/100*客户账期/365
",,2,值更新事件,
54554,1007006,2,FAuxPriceIncludeTax,含税单价,0,4096,FAction,"FDescount=100-100*FDecimal23/(1-FDecimal18/100)*(1+FCess/100)/(1-FDecimal5/100)/(1-FDecimal6/100)/FAuxPriceIncludeTax/FDecimal4
","折扣率=100-100*总成本/(1-公司最终报价利润率%/100)*(1+税率/100)/(1-质量赔偿金折扣率%/100)/(1-返点%/100)/含税单价/报价汇率
",,3,值更新事件,
54555,1007006,2,FAuxPriceIncludeTax,含税单价,32768,4096,FAction,FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100),实际含税单价=含税单价*(1-折扣率/100),,4,值更新事件,
54556,1007006,2,FAuxPriceIncludeTax,含税单价,32768,4096,FAction,FAmount=FAuxQTY*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100),金额=数量*含税单价*(1-折扣率/100)/(1+税率/100),,5,值更新事件,
54557,1007006,2,FAuxPriceIncludeTax,含税单价,32768,4096,FAction,FDiscountAmt=FAuxQTY*FAuxPriceIncludeTax*FDescount/100,折扣额=数量*含税单价*折扣率/100,@SysProfileDisCountIncludeTax=1,6,值更新事件,
54558,1007006,2,FAuxPriceIncludeTax,含税单价,32768,4096,FAction,FDiscountAmt=FAuxQTY*FAuxPriceIncludeTax/(100+FCess)*FDescount,折扣额=数量*含税单价/(100+税率)*折扣率,@SysProfileDisCountIncludeTax=0,7,值更新事件,
54559,1007006,2,FAuxPriceIncludeTax,含税单价,32768,4096,FAction,FTaxAmount=FAuxQTY*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100,税额=数量*含税单价*(1-折扣率/100)/(1+税率/100)*税率/100,FCess>0,8,值更新事件,
54560,1007006,2,FAuxPriceIncludeTax,含税单价,32768,4096,FAction,FAmountIncludeTax=FAmount+FTaxAmount,含税金额=金额+税额,,9,值更新事件,
54561,1007006,2,FAuxPriceIncludeTax,含税单价,32768,4096,FAction,FPrice=FAuxPriceIncludeTax/(1+FCess/100)/FUnitID.FCoefficient,基本单位单价=含税单价/(1+税率/100)/单位.FCoefficient,,10,值更新事件,
54562,1007006,2,FAuxPriceIncludeTax,含税单价,0,4096,FAction,FDecimal10=FAuxPriceIncludeTax*FDecimal4*(1-FDecimal6/100)*(1-FDecimal5/100)/(1+FCess/100)-FDecimal23,利润=含税单价*报价汇率*(1-返点%/100)*(1-质量赔偿金折扣率%/100)/(1+税率/100)-总成本,,11,值更新事件,
54563,1007006,2,FAuxPriceIncludeTax,含税单价,0,4096,FAction,"FDecimal11=100-100*FDecimal23*(1+FCess/100)/(FAuxPriceIncludeTax*(1-FDecimal6/100)*(1-FDecimal5/100)*FDecimal4)
","利润率%=100-100*总成本*(1+税率/100)/(含税单价*(1-返点%/100)*(1-质量赔偿金折扣率%/100)*报价汇率)
",,12,值更新事件,
54564,1007006,14,FAuxPriceIncludeTax,含税单价,0,4096,FAction,FDecimal12,客户目标价,,13,值更新事件,
54565,1007006,9,FAuxQTY,数量,0,4096,FSaveRule,"FAuxQTY>0,CHS=产品的FAuxQTY必须大于零。@CHT=產品的數量必須大于零。@EN=the Quantity of Product must be more than zero.@,0","数量>0,CHS=产品的数量必须大于零。@CHT=產品的數量必須大于零。@EN=the Quantity of Product must be more than zero.@,0",,1,保存规则,
54566,1007006,2,FAuxQTY,数量,32768,4096,FAction,FQty=FAuxQTY*FUnitID.FCoefficient,基本单位数量=数量*单位.FCoefficient,,1,值更新事件,
54567,1007006,2,FAuxQTY,数量,0,4096,FAction,FDecimal21=FCustID.F_123,木托盘缠绕膜成本=购货单位.F_123,,2,值更新事件,
54568,1007006,14,FAuxQTY,数量,0,4096,FAction,"FDecimal15,FDecimal16","RMB产品控制利润率%,USD产品控制利润率%",,3,值更新事件,
54569,1007006,2,FAuxQTY,数量,32768,4096,FAction,FAmount=FAuxQTY*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100),金额=数量*含税单价*(1-折扣率/100)/(1+税率/100),,4,值更新事件,
54570,1007006,2,FAuxQTY,数量,32768,4096,FAction,FDiscountAmt=FAuxQTY*FAuxPriceIncludeTax*FDescount/100,折扣额=数量*含税单价*折扣率/100,@SysProfileDisCountIncludeTax=1,5,值更新事件,
54571,1007006,2,FAuxQTY,数量,32768,4096,FAction,FDiscountAmt=FAuxQTY*FAuxPriceIncludeTax/(100+FCess)*FDescount,折扣额=数量*含税单价/(100+税率)*折扣率,@SysProfileDisCountIncludeTax=0,6,值更新事件,
54572,1007006,2,FAuxQTY,数量,32768,4096,FAction,FTaxAmount=FAuxQTY*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100,税额=数量*含税单价*(1-折扣率/100)/(1+税率/100)*税率/100,FCess>0,7,值更新事件,
54573,1007006,2,FAuxQTY,数量,32768,4096,FAction,FAmountIncludeTax=FAmount+FTaxAmount,含税金额=金额+税额,,8,值更新事件,
54574,1007006,2,FAuxQTYFrom,数量段(从),0,4096,FAction,FQtyFrom=FAuxQTYFrom*FUnitID.FCoefficient,基本单位数量段(从)=数量段(从)*单位.FCoefficient,,1,值更新事件,
54575,1007006,2,FAuxQTYTo,数量段(到),0,4096,FAction,FQtyTo=FAuxQTYTo*FUnitID.FCoefficient,基本单位数量段(到)=数量段(到)*单位.FCoefficient,,1,值更新事件,
54576,1007006,1,FBase,价格类型,0,4096,FAction,"FBaseProperty3,FDecimal1=F_106,FDecimal2=F_103","运费计量单位,运费税率=F_106,运费标准单价(含税)=F_103",ME.F_109=FCustID.F_125,1,值更新事件,
54577,1007006,2,FBase,价格类型,0,4096,FAction,FDecimal3=FDecimal2*FDecimal/(1+ME.F_106),运费（含税）=运费标准单价(含税)*体积/(1+ME.F_106),ME.F_105=207266,2,值更新事件,
54578,1007006,2,FBase,价格类型,0,4096,FAction,"FDecimal3=FDecimal2*FDecimal*100000/12000/(1+ME.F_106)
","运费（含税）=运费标准单价(含税)*体积*100000/12000/(1+ME.F_106)
",ME.F_105=125,3,值更新事件,
54579,1007006,14,FBase,价格类型,0,4096,FAction,FAuxPrice,单价,,4,值更新事件,
54580,1007006,100030,FBase3,报价汇率类型,0,4096,FAction,"FBase3,FCurrencyID,FDate,FDecimal4","报价汇率类型,币别,日期,报价汇率",,1,值更新事件,
54581,1007006,2,FBase4,贷款年利率,0,4096,FAction,FDecimal17=ME.F_101*100,贷款年利率（%）=ME.F_101*100,,1,值更新事件,
54582,1007006,2,FCess,税率(%),32768,4096,FAction,FAuxPrice=FAuxPriceIncludeTax/(1+FCess/100),单价=含税单价/(1+税率/100),@SysProfileIsTaxInPrc=1,1,值更新事件,
54583,1007006,2,FCess,税率(%),0,4096,FAction,FAuxPriceIncludeTax=FAuxPrice*(1+FCess/100),含税单价=单价*(1+税率/100),@SysProfileIsTaxInPrc=0,2,值更新事件,
54584,1007006,2,FCess,税率(%),0,4096,FAction,FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100),实际含税单价=含税单价*(1-折扣率/100),,3,值更新事件,
54585,1007006,2,FCess,税率(%),32768,4096,FAction,FPrice=FAuxPriceIncludeTax/(1+FCess/100)/FUnitID.FCoefficient,基本单位单价=含税单价/(1+税率/100)/单位.FCoefficient,,4,值更新事件,
54586,1007006,2,FCess,税率(%),32768,4096,FAction,FAmount=FAuxQTY*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100),金额=数量*含税单价*(1-折扣率/100)/(1+税率/100),,5,值更新事件,
54587,1007006,2,FCess,税率(%),32768,4096,FAction,FTaxAmount=FAuxQTY*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100,税额=数量*含税单价*(1-折扣率/100)/(1+税率/100)*税率/100,FCess>0,6,值更新事件,
54588,1007006,2,FCess,税率(%),32768,4096,FAction,FAmountIncludeTax=FAmount+FTaxAmount,含税金额=金额+税额,,7,值更新事件,
54589,1007006,14,FCurrencyID,币别,0,4096,FAction,"FDecimal15,FDecimal16,FBase3","RMB产品控制利润率%,USD产品控制利润率%,报价汇率类型",,1,值更新事件,
54590,1007006,1,FCustID,购货单位,32768,4096,FAction,"FCURRENCYID=FCYID,FBASEPROPERTY2,FBaseProperty4","币别=FCYID,客户代码,FBaseProperty4",ME.FCyID<>0,1,值更新事件,
54591,1007006,1,FCustID,购货单位,32768,4096,FAction,"FPAYCONDITION=FPAYCONDITION,FDECIMAL8=F_116,FDECIMAL22=F_122,FDecimal6=F_115,FDecimal5=F_121,FBASE2=F_125","收款条件 =收款条件 ,客户指导利润率（%）=F_116,客户账期=F_122,返点%=F_115,质量赔偿金折扣率%=F_121,出货条件=F_125",,2,值更新事件,
54592,1007006,1,FCustID,购货单位,32768,4096,FAction,"FDEPTID=FDEPARTMENT,FEMPID=FEMPLOYEE","部门=FDEPARTMENT,业务员=FEMPLOYEE",,3,值更新事件,
54593,1007006,2,FDecimal12,客户目标价,0,4096,FAction,FDecimal13=FDecimal12*FDecimal4*(1-FDecimal6/100)*(1-FDecimal5/100)/(1+FCess/100)-FDecimal23,目标价利润=客户目标价*报价汇率*(1-返点%/100)*(1-质量赔偿金折扣率%/100)/(1+税率/100)-总成本,,1,值更新事件,
54594,1007006,2,FDecimal12,客户目标价,0,4096,FAction,"FDecimal14=100-100*FDecimal23*(1+FCess/100)/(FDecimal12*(1-FDecimal6/100)*(1-FDecimal5/100)*FDecimal4)
","目标价利润%=100-100*总成本*(1+税率/100)/(客户目标价*(1-返点%/100)*(1-质量赔偿金折扣率%/100)*报价汇率)
",FDecimal12>0,2,值更新事件,
54595,1007006,2,FDecimal15,RMB产品控制利润率%,0,4096,FAction,FDecimal18=FDecimal8,公司最终报价利润率%=客户指导利润率（%）,FCurrencyID=1 and FDecimal8>=FDecimal15,1,值更新事件,
54596,1007006,2,FDecimal15,RMB产品控制利润率%,0,4096,FAction,FDecimal18=FDecimal15,公司最终报价利润率%=RMB产品控制利润率%,FCurrencyID=1 and FDecimal8 < FDecimal15,2,值更新事件,
54597,1007006,2,FDecimal16,USD产品控制利润率%,0,4096,FAction,FDecimal18=FDecimal8,公司最终报价利润率%=客户指导利润率（%）,FCurrencyID=1000 and FDecimal8>=FDecimal16,1,值更新事件,
54598,1007006,2,FDecimal16,USD产品控制利润率%,0,4096,FAction,FDecimal18=FDecimal16,公司最终报价利润率%=USD产品控制利润率%,FCurrencyID=1000 and FDecimal8 < FDecimal16,2,值更新事件,
54599,1007006,14,FDecimal17,贷款年利率（%）,0,4096,FAction,FAuxPrice,单价,,1,值更新事件,
54600,1007006,14,FDecimal18,公司最终报价利润率%,0,4096,FAction,"FAuxPrice,FBase","单价,FBase",,1,值更新事件,
54601,1007006,14,FDecimal22,客户账期     ,0,4096,FAction,FAuxPrice,单价,,1,值更新事件,
54602,1007006,14,FDecimal8,客户指导利润率（%）,0,4096,FAction,"FDecimal15,FDecimal16","RMB产品控制利润率%,USD产品控制利润率%",,1,值更新事件,
54603,1007006,2,FDescount,折扣率(%),0,4096,FAction,FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100),实际含税单价=含税单价*(1-折扣率/100),,1,值更新事件,
54604,1007006,2,FDescount,折扣率(%),0,4096,FAction,FAmount=FAuxQTY*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100),金额=数量*含税单价*(1-折扣率/100)/(1+税率/100),,2,值更新事件,
54605,1007006,2,FDescount,折扣率(%),0,4096,FAction,FDiscountAmt=FAuxQTY*FAuxPriceIncludeTax*FDescount/100,折扣额=数量*含税单价*折扣率/100,@SysProfileDisCountIncludeTax=1,3,值更新事件,
54606,1007006,2,FDescount,折扣率(%),0,4096,FAction,FDiscountAmt=FAuxQTY*FAuxPriceIncludeTax/(100+FCess)*FDescount,折扣额=数量*含税单价/(100+税率)*折扣率,@SysProfileDisCountIncludeTax=0,4,值更新事件,
54607,1007006,2,FDescount,折扣率(%),0,4096,FAction,FTaxAmount=FAuxQTY*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100,税额=数量*含税单价*(1-折扣率/100)/(1+税率/100)*税率/100,,5,值更新事件,
54608,1007006,2,FDescount,折扣率(%),0,4096,FAction,FAmountIncludeTax=FAmount+FTaxAmount,含税金额=金额+税额,,6,值更新事件,
54609,1007006,9,FExchangeRate,汇率,0,4096,FSaveRule,"FExchangeRate>0,CHS=汇率必须大于0!@CHT=匯率必須大於0!@EN=Exchange rate must be greater than 0 !@,0","汇率>0,CHS=汇率必须大于0!@CHT=匯率必須大於0!@EN=Exchange rate must be greater than 0 !@,0",,1,保存规则,
54610,1007006,1,FItemNumber,物料代码,32768,4096,FAction,"FItemName,FModel,FBaseUnit,FUnitID=FSaleUnitID,FBaseProperty,FBaseProperty1,FDecimal=FSize,FDecimal7=FStandardCost,FDecimal19=F_172,FDecimal15=F_171,FDecimal16=F_175","物料名称,规格型号,基本单位名称,单位=FSaleUnitID,芯体颜色标准,适用车型,体积=FSize,出厂成本_不含运费=FStandardCost,产品累计销售数量=F_172,RMB产品控制利润率%=F_171,USD产品控制利润率%=F_175",,1,Add by Function SetSouceAction,
54615,1007006,5,FItemNumber,物料代码,0,4096,FLoadAction,"FAUXPRICE,FAuxQTY,FAuxQTYFROM,FAuxQTYTO,FAUXPRICEINCLUDETAX,FAUXTAXPRICEDISCOUNT,FSELFDEFINEPRICE1,FSELFDEFINEPRICE2,FSELFDEFINEPRICE3,FSELFDEFINEPRICE4,FPRICE1,FPRICE,FQTY,FQTYFROM,FQtyTo","单价,数量,数量段(从),数量段(到),含税单价,实际含税单价,自定义不计入成本费用1,自定义不计入成本费用2,自定义不计入成本费用3,自定义不计入成本费用4,基本单位单价1,基本单位单价,基本单位数量,基本单位数量段(从),基本单位数量段(到)",,1,Add by Function SetSouceAction,
54611,1007006,5,FItemNumber,物料代码,32768,4096,FAction,"FAUXPRICE,FAuxQTY,FAuxQTYFROM,FAuxQTYTO,FAUXPRICEINCLUDETAX,FAUXTAXPRICEDISCOUNT,FSELFDEFINEPRICE1,FSELFDEFINEPRICE2,FSELFDEFINEPRICE3,FSELFDEFINEPRICE4,FPRICE1,FPRICE,FQTY,FQTYFROM,FQtyTo","单价,数量,数量段(从),数量段(到),含税单价,实际含税单价,自定义不计入成本费用1,自定义不计入成本费用2,自定义不计入成本费用3,自定义不计入成本费用4,基本单位单价1,基本单位单价,基本单位数量,基本单位数量段(从),基本单位数量段(到)",,2,Add by Function SetSouceAction,
54616,1007006,8,FItemNumber,物料代码,0,4096,FLoadAction,"ME.FAuxClassID=0,FAuxPropID=1,FAuxPropID=0","ME.辅助属性类别=0,辅助属性=1,辅助属性=0",,2,加载更新事件,
54612,1007006,8,FItemNumber,物料代码,32768,4096,FAction,"ME.FAuxClassID=0,FAuxPropID=1,FAuxPropID=0","ME.辅助属性类别=0,辅助属性=1,辅助属性=0",,3,值更新事件,
54613,1007006,100007,FItemNumber,物料代码,32768,4096,FAction,"Para=[P_CompanyID=FCustID,P_TaxRateOption=0];Return=[P_TaxRate=FCess];BOSAction=[BSA_FillRowType=-1,BSA_ReadRowType=-1]","Para=[P_CompanyID=购货单位,P_TaxRateOption=0];Return=[P_TaxRate=税率];BOSAction=[BSA_FillRowType=-1,BSA_ReadRowType=-1]",,4,值更新事件,
54614,1007006,100018,FItemNumber,物料代码,0,4096,FAction,"FItemID=FItemNumber,FStockID=,FBathNo=,FAuxProperty=FAuxPropID,FUnitID=FUnitID,FSPID=,FKFDate=,FKFPeriod=","FItemID=物料代码,FStockID=,FBathNo=,FAuxProperty=辅助属性,单位=单位,FSPID=,FK日期=,FKFPeriod=",,5,值更新事件,
54617,1007006,1,FMapNumber,对应代码,0,4096,FAction,FMAPNAME,对应名称,,1,Add by Function SetSouceAction,
54618,1007006,3,FUnitID,单位,0,4096,FAction,"FAuxQTY,FAuxPrice,FAuxPriceIncludeTax,FAuxQTYFrom,FAuxQTYTo","数量,单价,含税单价,数量段(从),数量段(到)",,1,值更新事件,
